"","OTU","s_A2","s_A3","s_A4","s_B1","s_B2","s_B4","s_C1","s_C2","s_C3","w_A1","w_A2","w_A3","w_A4","w_B1","w_B2","w_B3","w_B4","w_C1","w_C2","w_C3","w_C4","Taxa","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"d:Eukaryota(1.0000),p:Florideophycidae(0.7900),c:Corallinophycidae(0.7732),o:Unknown_Order_1003045(0.7824),f:Unknown_Family_1003046(0.8281),g:Mesophyllum(0.2265)","Eukaryota","Florideophycidae","Corallinophycidae","Unknown_Order_1003045","Unknown_Family_1003046","Mesophyllum",NA
"2",2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"d:Eukaryota(0.9672),p:Ochrophyta(0.2717),c:Diatomea(0.1472),o:Bacillariophytina(0.0201),f:Bacillariophyceae(0.0084),g:Psammodictyon(0.0019)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Psammodictyon",NA
"3",3,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"d:Eukaryota(0.9446),p:Ochrophyta(0.2717),c:Diatomea(0.1472),o:Bacillariophytina(0.0201),f:Bacillariophyceae(0.0084),g:Nitzschia(0.0019)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Nitzschia",NA
"4",4,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,"d:Eukaryota(1.0000),p:Dinoflagellata(0.6278),c:Dinophyceae(0.6316),o:Gymnodiniphycidae(0.5718),f:Gymnodinium_clade(0.5711),g:Spiniferodinium(0.6733)","Eukaryota","Dinoflagellata","Dinophyceae","Gymnodiniphycidae","Gymnodinium_clade","Spiniferodinium",NA
"5",6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.7864),p:Nematoda(0.1592),c:Chromadorea(0.0870),o:Araeolaimida(0.0156),f:Unknown_Family_1003522(0.0061),g:Unknown_Genus_1001419(0.0016)","Eukaryota","Nematoda","Chromadorea","Araeolaimida","Unknown_Family_1003522","Unknown_Genus_1001419",NA
"6",7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"d:Eukaryota(1.0000),p:Ochrophyta(0.4428),c:Diatomea(0.3267),o:Coscinodiscophytina(0.0942),f:Fragilariales(0.0486),g:Licmophora(0.0150)","Eukaryota","Ochrophyta","Diatomea","Coscinodiscophytina","Fragilariales","Licmophora",NA
"7",8,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.8994),p:Arthropoda(0.2125),c:Insecta(0.1026),o:Orthoptera(0.0178),f:Unknown_Family_1003417(0.0073),g:Unknown_Genus_1001292(0.0017)","Eukaryota","Arthropoda","Insecta","Orthoptera","Unknown_Family_1003417","Unknown_Genus_1001292",NA
"8",9,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,"d:Eukaryota(1.0000),p:Unknown_Phylum_1002968(0.5284),c:Ulvophyceae(0.3104),o:Unknown_Order_1003017(0.2150),f:Unknown_Family_1003018(0.1131),g:Unknown_Genus_1001105(0.0357)","Eukaryota","Unknown_Phylum_1002968","Ulvophyceae","Unknown_Order_1003017","Unknown_Family_1003018","Unknown_Genus_1001105",NA
"9",10,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ochrophyta(0.5899),c:Diatomea(0.5217),o:Bacillariophytina(0.2150),f:Bacillariophyceae(0.1131),g:Nitzschia(0.0357)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Nitzschia",NA
"10",11,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,"d:Eukaryota(0.5829),p:Ochrophyta(0.1058),c:Diatomea(0.0559),o:Bacillariophytina(0.0100),f:Bacillariophyceae(0.0033),g:Frustulia(0.0013)","Eukaryota","Ochrophyta","Diatomea","Bacillariophytina","Bacillariophyceae","Frustulia",NA
