Name,Medium,Location,ID
SAMPLE_123257,Water,Sheltered,w_A1
SAMPLE_123258,Water,Sheltered,w_A2
SAMPLE_123259,Water,Sheltered,w_A3
SAMPLE_123260,Water,Sheltered,w_A4
SAMPLE_123261,Water,Minor Outlet,w_B1
SAMPLE_123262,Water,Minor Outlet,w_B2
SAMPLE_123263,Water,Minor Outlet,w_B3
SAMPLE_123264,Water,Minor Outlet,w_B4
SAMPLE_123265,Water,Major Outlet,w_C1
SAMPLE_123266,Water,Major Outlet,w_C2
SAMPLE_123267,Water,Major Outlet,w_C3
SAMPLE_123268,Water,Major Outlet,w_C4
SAMPLE_123269,Sediment,Sheltered,NA
SAMPLE_123270,Sediment,Sheltered,s_A2
SAMPLE_123271,Sediment,Sheltered,s_A3
SAMPLE_123272,Sediment,Sheltered,s_A4
SAMPLE_123273,Sediment,Minor Outlet,s_B1
SAMPLE_123274,Sediment,Minor Outlet,s_B2
SAMPLE_123276,Sediment,Minor Outlet,s_B4
SAMPLE_123277,Sediment,Major Outlet,s_C1
SAMPLE_123278,Sediment,Major Outlet,s_C2
SAMPLE_123279,Sediment,Major Outlet,s_C3
SAMPLE_123280,Sediment,Major Outlet,NA
