Supplemental Table 8. 18S Core Microbial Community ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,OTU,s_A2,s_A3,s_A4,s_B1,s_B2,s_B4,s_C1,s_C2,s_C3,w_A1,w_A2,w_A3,w_A4,w_B1,w_B2,w_B3,w_B4,w_C1,w_C2,w_C3,w_C4,Taxa,Kingdom,Phylum,Class,Order,Family,Genus,Species,TotalSum,WatSum,SedSum,SHSum,MNSum,MJSum
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"d:Eukaryota(1.0000),p:Florideophycidae(0.7900),c:Corallinophycidae(0.7732),o:Unknown_Order_1003045(0.7824),f:Unknown_Family_1003046(0.8281),g:Mesophyllum(0.2265)",Eukaryota,Florideophycidae,Corallinophycidae,Unknown_Order_1003045,Unknown_Family_1003046,Mesophyllum,NA,20,11,9,7,7,7
2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"d:Eukaryota(0.9672),p:Ochrophyta(0.2717),c:Diatomea(0.1472),o:Bacillariophytina(0.0201),f:Bacillariophyceae(0.0084),g:Psammodictyon(0.0019)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Psammodictyon,NA,20,11,9,7,7,7
6,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"d:Eukaryota(1.0000),p:Ochrophyta(0.4428),c:Diatomea(0.3267),o:Coscinodiscophytina(0.0942),f:Fragilariales(0.0486),g:Licmophora(0.0150)",Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Licmophora,NA,20,11,9,7,7,7
11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"d:Eukaryota(1.0000),p:Florideophycidae(0.7900),c:Corallinophycidae(0.7732),o:Unknown_Order_1003045(0.7824),f:Unknown_Family_1003046(0.8281),g:Mesophyllum(0.2265)",Eukaryota,Florideophycidae,Corallinophycidae,Unknown_Order_1003045,Unknown_Family_1003046,Mesophyllum,NA,20,11,9,7,7,7
22,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"d:Eukaryota(0.9672),p:Ochrophyta(0.2717),c:Diatomea(0.1472),o:Bacillariophytina(0.0201),f:Bacillariophyceae(0.0084),g:Psammodictyon(0.0019)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Psammodictyon,NA,20,11,9,7,7,7
4,4,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,"d:Eukaryota(1.0000),p:Dinoflagellata(0.6278),c:Dinophyceae(0.6316),o:Gymnodiniphycidae(0.5718),f:Gymnodinium_clade(0.5711),g:Spiniferodinium(0.6733)",Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Gymnodinium_clade,Spiniferodinium,NA,14,11,3,5,5,5
61,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"d:Eukaryota(1.0000),p:Ochrophyta(0.4428),c:Diatomea(0.3267),o:Coscinodiscophytina(0.0942),f:Fragilariales(0.0486),g:Licmophora(0.0150)",Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Licmophora,NA,20,11,9,7,7,7
10,11,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,"d:Eukaryota(0.5829),p:Ochrophyta(0.1058),c:Diatomea(0.0559),o:Bacillariophytina(0.0100),f:Bacillariophyceae(0.0033),g:Frustulia(0.0013)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Frustulia,NA,11,11,0,4,4,4
26,28,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,"d:Eukaryota(1.0000),p:Unknown_Phylum_1002968(0.7719),c:Trebouxiophyceae(0.4036),o:Chlorellales(0.2912),f:Unknown_Family_1003011(0.1599),g:Nannochloris(0.0547)",Eukaryota,Unknown_Phylum_1002968,Trebouxiophyceae,Chlorellales,Unknown_Family_1003011,Nannochloris,NA,11,11,0,4,4,4
12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"d:Eukaryota(1.0000),p:Florideophycidae(0.7900),c:Corallinophycidae(0.7732),o:Unknown_Order_1003045(0.7824),f:Unknown_Family_1003046(0.8281),g:Mesophyllum(0.2265)",Eukaryota,Florideophycidae,Corallinophycidae,Unknown_Order_1003045,Unknown_Family_1003046,Mesophyllum,NA,20,11,9,7,7,7
23,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"d:Eukaryota(0.9672),p:Ochrophyta(0.2717),c:Diatomea(0.1472),o:Bacillariophytina(0.0201),f:Bacillariophyceae(0.0084),g:Psammodictyon(0.0019)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Psammodictyon,NA,20,11,9,7,7,7
62,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"d:Eukaryota(1.0000),p:Ochrophyta(0.4428),c:Diatomea(0.3267),o:Coscinodiscophytina(0.0942),f:Fragilariales(0.0486),g:Licmophora(0.0150)",Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Licmophora,NA,20,11,9,7,7,7
7,8,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.8994),p:Arthropoda(0.2125),c:Insecta(0.1026),o:Orthoptera(0.0178),f:Unknown_Family_1003417(0.0073),g:Unknown_Genus_1001292(0.0017)",Eukaryota,Arthropoda,Insecta,Orthoptera,Unknown_Family_1003417,Unknown_Genus_1001292,NA,9,0,9,3,3,3
9,10,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ochrophyta(0.5899),c:Diatomea(0.5217),o:Bacillariophytina(0.2150),f:Bacillariophyceae(0.1131),g:Nitzschia(0.0357)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,NA,9,0,9,3,3,3
30,32,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Unknown_Phylum_1003810(0.5646),c:Unknown_Class_1003811(0.4661),o:Unknown_Order_1003812(0.3108),f:Unknown_Family_1003813(0.2691),g:Unknown_Genus_1001715(0.2265)",Eukaryota,Unknown_Phylum_1003810,Unknown_Class_1003811,Unknown_Order_1003812,Unknown_Family_1003813,Unknown_Genus_1001715,NA,10,1,9,3,4,3
46,48,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Dinoflagellata(0.5646),c:Dinophyceae(0.4661),o:Gymnodiniphycidae(0.3108),f:Gymnodinium_clade(0.2691),g:Spiniferodinium(0.2265)",Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Gymnodinium_clade,Spiniferodinium,NA,9,0,9,3,3,3
48,50,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(0.7411),p:Ochrophyta(0.1458),c:Diatomea(0.0793),o:Bacillariophytina(0.0145),f:Bacillariophyceae(0.0056),g:Nitzschia(0.0015)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,NA,9,0,9,3,3,3
51,53,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ciliophora(0.4428),c:Intramacronucleata(0.3267),o:Spirotrichea(0.2323),f:Hypotrichia(0.0670),g:Holosticha(0.0180)",Eukaryota,Ciliophora,Intramacronucleata,Spirotrichea,Hypotrichia,Holosticha,NA,9,0,9,3,3,3
67,70,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,"d:Eukaryota(1.0000),p:Ochrophyta(0.3915),c:Diatomea(0.2778),o:Coscinodiscophytina(0.0769),f:Fragilariales(0.0394),g:Licmophora(0.0121)",Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Licmophora,NA,10,1,9,3,4,3
13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"d:Eukaryota(1.0000),p:Florideophycidae(0.7900),c:Corallinophycidae(0.7732),o:Unknown_Order_1003045(0.7824),f:Unknown_Family_1003046(0.8281),g:Mesophyllum(0.2265)",Eukaryota,Florideophycidae,Corallinophycidae,Unknown_Order_1003045,Unknown_Family_1003046,Mesophyllum,NA,20,11,9,7,7,7
24,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"d:Eukaryota(0.9672),p:Ochrophyta(0.2717),c:Diatomea(0.1472),o:Bacillariophytina(0.0201),f:Bacillariophyceae(0.0084),g:Psammodictyon(0.0019)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Psammodictyon,NA,20,11,9,7,7,7
3,3,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"d:Eukaryota(0.9446),p:Ochrophyta(0.2717),c:Diatomea(0.1472),o:Bacillariophytina(0.0201),f:Bacillariophyceae(0.0084),g:Nitzschia(0.0019)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,NA,18,10,8,7,5,7
63,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"d:Eukaryota(1.0000),p:Ochrophyta(0.4428),c:Diatomea(0.3267),o:Coscinodiscophytina(0.0942),f:Fragilariales(0.0486),g:Licmophora(0.0150)",Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Licmophora,NA,20,11,9,7,7,7
8,9,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,"d:Eukaryota(1.0000),p:Unknown_Phylum_1002968(0.5284),c:Ulvophyceae(0.3104),o:Unknown_Order_1003017(0.2150),f:Unknown_Family_1003018(0.1131),g:Unknown_Genus_1001105(0.0357)",Eukaryota,Unknown_Phylum_1002968,Ulvophyceae,Unknown_Order_1003017,Unknown_Family_1003018,Unknown_Genus_1001105,NA,16,8,8,7,3,7
21,22,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,"d:Eukaryota(1.0000),p:Ochrophyta(0.5113),c:Diatomea(0.3757),o:Coscinodiscophytina(0.1287),f:Fragilariales(0.0670),g:Licmophora(0.0210)",Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Licmophora,NA,18,10,8,7,6,6
14,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"d:Eukaryota(1.0000),p:Florideophycidae(0.7900),c:Corallinophycidae(0.7732),o:Unknown_Order_1003045(0.7824),f:Unknown_Family_1003046(0.8281),g:Mesophyllum(0.2265)",Eukaryota,Florideophycidae,Corallinophycidae,Unknown_Order_1003045,Unknown_Family_1003046,Mesophyllum,NA,20,11,9,7,7,7
25,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"d:Eukaryota(0.9672),p:Ochrophyta(0.2717),c:Diatomea(0.1472),o:Bacillariophytina(0.0201),f:Bacillariophyceae(0.0084),g:Psammodictyon(0.0019)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Psammodictyon,NA,20,11,9,7,7,7
64,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"d:Eukaryota(1.0000),p:Ochrophyta(0.4428),c:Diatomea(0.3267),o:Coscinodiscophytina(0.0942),f:Fragilariales(0.0486),g:Licmophora(0.0150)",Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Licmophora,NA,20,11,9,7,7,7
15,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"d:Eukaryota(1.0000),p:Florideophycidae(0.7900),c:Corallinophycidae(0.7732),o:Unknown_Order_1003045(0.7824),f:Unknown_Family_1003046(0.8281),g:Mesophyllum(0.2265)",Eukaryota,Florideophycidae,Corallinophycidae,Unknown_Order_1003045,Unknown_Family_1003046,Mesophyllum,NA,20,11,9,7,7,7
27,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"d:Eukaryota(0.9672),p:Ochrophyta(0.2717),c:Diatomea(0.1472),o:Bacillariophytina(0.0201),f:Bacillariophyceae(0.0084),g:Psammodictyon(0.0019)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Psammodictyon,NA,20,11,9,7,7,7
31,3,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"d:Eukaryota(0.9446),p:Ochrophyta(0.2717),c:Diatomea(0.1472),o:Bacillariophytina(0.0201),f:Bacillariophyceae(0.0084),g:Nitzschia(0.0019)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,NA,18,10,8,7,5,7
65,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"d:Eukaryota(1.0000),p:Ochrophyta(0.4428),c:Diatomea(0.3267),o:Coscinodiscophytina(0.0942),f:Fragilariales(0.0486),g:Licmophora(0.0150)",Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Licmophora,NA,20,11,9,7,7,7
81,9,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,"d:Eukaryota(1.0000),p:Unknown_Phylum_1002968(0.5284),c:Ulvophyceae(0.3104),o:Unknown_Order_1003017(0.2150),f:Unknown_Family_1003018(0.1131),g:Unknown_Genus_1001105(0.0357)",Eukaryota,Unknown_Phylum_1002968,Ulvophyceae,Unknown_Order_1003017,Unknown_Family_1003018,Unknown_Genus_1001105,NA,16,8,8,7,3,7
