"","OTU","SAMPLE_123257","SAMPLE_123258","SAMPLE_123259","SAMPLE_123260","SAMPLE_123261","SAMPLE_123262","SAMPLE_123263","SAMPLE_123264","SAMPLE_123265","SAMPLE_123266","SAMPLE_123267","SAMPLE_123268","SAMPLE_123269","SAMPLE_123270","SAMPLE_123271","SAMPLE_123272","SAMPLE_123273","SAMPLE_123274","SAMPLE_123276","SAMPLE_123277","SAMPLE_123278","SAMPLE_123279","SAMPLE_123280","Taxa","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1",0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:SAR11_clade(1.0000),f:Surface_1(0.9595),g:Candidatus_Pelagibacter(0.6585)","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Surface_1","Candidatus_Pelagibacter",NA
"2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Epsilonproteobacteria(1.0000),o:Campylobacterales(1.0000),f:Campylobacteraceae(0.9827),g:Arcobacter(0.9749)","Bacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Campylobacteraceae","Arcobacter",NA
"3",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9603),c:Gammaproteobacteria(0.9627),o:Oceanospirillales(0.8623),f:Hahellaceae(0.8804),g:Endozoicomonas(0.8898)","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Hahellaceae","Endozoicomonas",NA
"4",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9672),c:Alphaproteobacteria(0.9782),o:Sphingomonadales(0.9828),f:Sphingomonadaceae(0.8804),g:Sphingomonas(0.8663)","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"5",4,0,1,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9230),c:Gammaproteobacteria(0.9046),o:Vibrionales(0.5786),f:Vibrionaceae(0.3956),g:Vibrio(0.0972)","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","Vibrio",NA
"6",5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"d:Bacteria(1.0000),p:Bacteroidetes(1.0000),c:Flavobacteriia(1.0000),o:Flavobacteriales(1.0000),f:Flavobacteriaceae(1.0000),g:uncultured_1216(0.8429)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","uncultured_1216",NA
"7",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Bacteroidetes(0.9560),c:Flavobacteriia(0.9410),o:Flavobacteriales(0.9182),f:Flavobacteriaceae(0.9075),g:Wenyingzhuangia(0.2159)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Wenyingzhuangia",NA
"8",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Betaproteobacteria(0.9778),o:Burkholderiales(0.9745),f:Comamonadaceae(0.9595),g:Curvibacter(0.8194)","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Curvibacter",NA
"9",9,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9698),c:Alphaproteobacteria(0.9778),o:Rhodobacterales(0.9796),f:Rhodobacteraceae(0.9845),g:Lentibacter(0.6585)","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Lentibacter",NA
"10",10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,"d:Bacteria(1.0000),p:Bacteroidetes(0.9913),c:Flavobacteriia(0.9848),o:Flavobacteriales(0.9950),f:Flavobacteriaceae(0.9841),g:Maribacter(0.8429)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Maribacter",NA
"11",11,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,"d:Bacteria(1.0000),p:Proteobacteria(0.9931),c:Gammaproteobacteria(0.9573),o:Xanthomonadales(0.9720),f:JTB255_marine_benthic_group(0.9179),g:Unknown_Genus_1000984(0.9601)","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","JTB255_marine_benthic_group","Unknown_Genus_1000984",NA
"12",12,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Cyanobacteria(1.0000),c:Cyanobacteria(0.9775),o:SubsectionI(0.9834),f:FamilyI(0.9829),g:Synechococcus(0.8194)","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus",NA
"13",13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,"d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Deltaproteobacteria(1.0000),o:Myxococcales(0.9836),f:Sandaracinaceae(0.9834),g:uncultured_11491(0.9764)","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Sandaracinaceae","uncultured_11491",NA
"14",14,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9672),c:Alphaproteobacteria(0.9782),o:Rhodobacterales(0.9758),f:Rhodobacteraceae(0.9699),g:Sulfitobacter(0.7470)","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sulfitobacter",NA
"15",15,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Rhodobacterales(0.9826),f:Rhodobacteraceae(0.9838),g:Amylibacter(0.6585)","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amylibacter",NA
"16",16,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,"d:Bacteria(1.0000),p:Bacteroidetes(1.0000),c:Flavobacteriia(1.0000),o:Flavobacteriales(1.0000),f:Flavobacteriaceae(0.9824),g:Polaribacter(0.8898)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter",NA
"17",17,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Gammaproteobacteria(1.0000),o:Alteromonadales(0.9836),f:Alteromonadaceae(0.9827),g:Alteromonas(0.8429)","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadaceae","Alteromonas",NA
"18",18,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Gammaproteobacteria(1.0000),o:Alteromonadales(0.9832),f:Pseudoalteromonadaceae(0.9803),g:Pseudoalteromonas(0.9741)","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Pseudoalteromonadaceae","Pseudoalteromonas",NA
"19",19,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,"d:Bacteria(1.0000),p:Bacteroidetes(0.9592),c:Flavobacteriia(0.9681),o:Flavobacteriales(0.9745),f:Flavobacteriaceae(0.9491),g:Robiginitalea(0.3044)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Robiginitalea",NA
"20",20,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Gammaproteobacteria(1.0000),o:Oceanospirillales(0.9832),f:SAR86_clade(0.9831),g:Unknown_Genus_1000950(0.9772)","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86_clade","Unknown_Genus_1000950",NA
"21",21,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,"d:Bacteria(1.0000),p:Proteobacteria(0.9698),c:Gammaproteobacteria(0.9786),o:BD7_8_marine_group(0.9796),f:Unknown_Family_1002603(0.9845),g:Unknown_Genus_1000892(0.9746)","Bacteria","Proteobacteria","Gammaproteobacteria","BD7_8_marine_group","Unknown_Family_1002603","Unknown_Genus_1000892",NA
"22",22,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,"d:Bacteria(1.0000),p:Bacteroidetes(0.9840),c:Flavobacteriia(0.9835),o:Flavobacteriales(0.9909),f:Flavobacteriaceae(0.9841),g:Zeaxanthinibacter(0.8194)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Zeaxanthinibacter",NA
"23",23,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,"d:Bacteria(1.0000),p:Bacteroidetes(0.9672),c:Flavobacteriia(0.9782),o:Flavobacteriales(0.9828),f:Flavobacteriaceae(0.9836),g:Aquibacter(0.9367)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Aquibacter",NA
"24",24,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1,1,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9665),c:Gammaproteobacteria(0.9735),o:Chromatiales(0.9462),f:Granulosicoccaceae(0.9179),g:Granulosicoccus(0.9601)","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Granulosicoccaceae","Granulosicoccus",NA
"25",25,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Bacteroidetes(0.9718),c:Flavobacteriia(0.9785),o:Flavobacteriales(0.9841),f:Flavobacteriaceae(0.9834),g:Polaribacter(0.6585)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter",NA
"26",26,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Actinobacteria(1.0000),c:Acidimicrobiia(1.0000),o:Acidimicrobiales(1.0000),f:OM1_clade(1.0000),g:Candidatus_Actinomarina(0.9749)","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OM1_clade","Candidatus_Actinomarina",NA
"27",27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9560),c:Gammaproteobacteria(0.9519),o:Oceanospirillales(0.9182),f:Oceanospirillaceae(0.9075),g:Neptuniibacter(0.8194)","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Neptuniibacter",NA
"28",28,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9646),c:Gammaproteobacteria(0.9793),o:Oceanospirillales(0.9771),f:Oceanospirillaceae(0.9803),g:Marinomonas(0.9741)","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Oceanospirillaceae","Marinomonas",NA
"29",29,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,"d:Bacteria(1.0000),p:Bacteroidetes(0.9840),c:Flavobacteriia(0.9835),o:Flavobacteriales(0.9909),f:Flavobacteriaceae(0.9923),g:Muriicola(0.3044)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Muriicola",NA
"30",30,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Bacteroidetes(1.0000),c:Flavobacteriia(0.9778),o:Flavobacteriales(0.9836),f:Cryomorphaceae(0.9834),g:Owenweeksia(0.9764)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Cryomorphaceae","Owenweeksia",NA
"31",31,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Bacteroidetes(0.9949),c:Flavobacteriia(0.9904),o:Flavobacteriales(0.9970),f:Flavobacteriaceae(0.9974),g:NS5_marine_group(0.9736)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS5_marine_group",NA
"32",32,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Bacteroidetes(0.9949),c:Flavobacteriia(0.9904),o:Flavobacteriales(0.9970),f:Flavobacteriaceae(0.9831),g:NS4_marine_group(0.9734)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","NS4_marine_group",NA
"33",34,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9986),c:Alphaproteobacteria(0.9968),o:SAR11_clade(0.9990),f:Surface_2(0.6504),g:Unknown_Genus_1000744(0.6585)","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Surface_2","Unknown_Genus_1000744",NA
