"","OTU","SAMPLE_123257","SAMPLE_123258","SAMPLE_123259","SAMPLE_123260","SAMPLE_123261","SAMPLE_123262","SAMPLE_123263","SAMPLE_123264","SAMPLE_123265","SAMPLE_123266","SAMPLE_123267","SAMPLE_123268","SAMPLE_123269","SAMPLE_123270","SAMPLE_123271","SAMPLE_123272","SAMPLE_123273","SAMPLE_123274","SAMPLE_123276","SAMPLE_123277","SAMPLE_123278","SAMPLE_123279","SAMPLE_123280","Taxa","Kingdom","Phylum","Class","Order","Family","Genus","Species","TotalSum","WatSum","SedSum","SHSum","MNSum","MJSum"
"6",5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"d:Bacteria(1.0000),p:Bacteroidetes(1.0000),c:Flavobacteriia(1.0000),o:Flavobacteriales(1.0000),f:Flavobacteriaceae(1.0000),g:uncultured_1216(0.8429)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","uncultured_1216",NA,23,12,11,8,7,8
"1",0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:SAR11_clade(1.0000),f:Surface_1(0.9595),g:Candidatus_Pelagibacter(0.6585)","Bacteria","Proteobacteria","Alphaproteobacteria","SAR11_clade","Surface_1","Candidatus_Pelagibacter",NA,12,12,0,4,4,4
"61",5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,"d:Bacteria(1.0000),p:Bacteroidetes(1.0000),c:Flavobacteriia(1.0000),o:Flavobacteriales(1.0000),f:Flavobacteriaceae(1.0000),g:uncultured_1216(0.8429)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","uncultured_1216",NA,23,12,11,8,7,8
"9",9,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9698),c:Alphaproteobacteria(0.9778),o:Rhodobacterales(0.9796),f:Rhodobacteraceae(0.9845),g:Lentibacter(0.6585)","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Lentibacter",NA,12,12,0,4,4,4
"12",12,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Cyanobacteria(1.0000),c:Cyanobacteria(0.9775),o:SubsectionI(0.9834),f:FamilyI(0.9829),g:Synechococcus(0.8194)","Bacteria","Cyanobacteria","Cyanobacteria","SubsectionI","FamilyI","Synechococcus",NA,12,12,0,4,4,4
"14",14,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(0.9672),c:Alphaproteobacteria(0.9782),o:Rhodobacterales(0.9758),f:Rhodobacteraceae(0.9699),g:Sulfitobacter(0.7470)","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Sulfitobacter",NA,12,12,0,4,4,4
"15",15,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Alphaproteobacteria(1.0000),o:Rhodobacterales(0.9826),f:Rhodobacteraceae(0.9838),g:Amylibacter(0.6585)","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Amylibacter",NA,12,12,0,4,4,4
"20",20,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Proteobacteria(1.0000),c:Gammaproteobacteria(1.0000),o:Oceanospirillales(0.9832),f:SAR86_clade(0.9831),g:Unknown_Genus_1000950(0.9772)","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","SAR86_clade","Unknown_Genus_1000950",NA,12,12,0,4,4,4
"25",25,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Bacteroidetes(0.9718),c:Flavobacteriia(0.9785),o:Flavobacteriales(0.9841),f:Flavobacteriaceae(0.9834),g:Polaribacter(0.6585)","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae","Polaribacter",NA,12,12,0,4,4,4
"26",26,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,"d:Bacteria(1.0000),p:Actinobacteria(1.0000),c:Acidimicrobiia(1.0000),o:Acidimicrobiales(1.0000),f:OM1_clade(1.0000),g:Candidatus_Actinomarina(0.9749)","Bacteria","Actinobacteria","Acidimicrobiia","Acidimicrobiales","OM1_clade","Candidatus_Actinomarina",NA,12,12,0,4,4,4
