OTU ,Taxa,Kingdom,Phylum,Class,Order,Family,Genus,Species
0,"d:Eukaryota(1.0000),p:Mollusca(0.9943),c:Gastropoda(0.9502),o:Caenogastropoda(0.9533),f:Unknown_Family_1003512(0.9471),g:Unknown_Genus_1001409(0.9232)",Eukaryota,Mollusca,Gastropoda,Caenogastropoda,Unknown_Family_1003512,Unknown_Genus_1001409,
1,"d:Eukaryota(1.0000),p:Florideophycidae(0.7900),c:Corallinophycidae(0.7732),o:Unknown_Order_1003045(0.7824),f:Unknown_Family_1003046(0.8281),g:Mesophyllum(0.2265)",Eukaryota,Florideophycidae,Corallinophycidae,Unknown_Order_1003045,Unknown_Family_1003046,Mesophyllum,
2,"d:Eukaryota(0.9672),p:Ochrophyta(0.2717),c:Diatomea(0.1472),o:Bacillariophytina(0.0201),f:Bacillariophyceae(0.0084),g:Psammodictyon(0.0019)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Psammodictyon,
3,"d:Eukaryota(0.9446),p:Ochrophyta(0.2717),c:Diatomea(0.1472),o:Bacillariophytina(0.0201),f:Bacillariophyceae(0.0084),g:Nitzschia(0.0019)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,
4,"d:Eukaryota(1.0000),p:Dinoflagellata(0.6278),c:Dinophyceae(0.6316),o:Gymnodiniphycidae(0.5718),f:Gymnodinium_clade(0.5711),g:Spiniferodinium(0.6733)",Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Gymnodinium_clade,Spiniferodinium,
5,"d:Eukaryota(0.3116),p:Dinoflagellata(0.0265),c:Dinophyceae(0.0097),o:Gymnodiniphycidae(0.0039),f:Suessiaceae(0.0005),g:Unknown_Genus_1001773(0.0008)",Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Suessiaceae,Unknown_Genus_1001773,
6,"d:Eukaryota(0.7864),p:Nematoda(0.1592),c:Chromadorea(0.0870),o:Araeolaimida(0.0156),f:Unknown_Family_1003522(0.0061),g:Unknown_Genus_1001419(0.0016)",Eukaryota,Nematoda,Chromadorea,Araeolaimida,Unknown_Family_1003522,Unknown_Genus_1001419,
7,"d:Eukaryota(1.0000),p:Ochrophyta(0.4428),c:Diatomea(0.3267),o:Coscinodiscophytina(0.0942),f:Fragilariales(0.0486),g:Licmophora(0.0150)",Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Licmophora,
8,"d:Eukaryota(0.8994),p:Arthropoda(0.2125),c:Insecta(0.1026),o:Orthoptera(0.0178),f:Unknown_Family_1003417(0.0073),g:Unknown_Genus_1001292(0.0017)",Eukaryota,Arthropoda,Insecta,Orthoptera,Unknown_Family_1003417,Unknown_Genus_1001292,
9,"d:Eukaryota(1.0000),p:Unknown_Phylum_1002968(0.5284),c:Ulvophyceae(0.3104),o:Unknown_Order_1003017(0.2150),f:Unknown_Family_1003018(0.1131),g:Unknown_Genus_1001105(0.0357)",Eukaryota,Unknown_Phylum_1002968,Ulvophyceae,Unknown_Order_1003017,Unknown_Family_1003018,Unknown_Genus_1001105,
10,"d:Eukaryota(1.0000),p:Ochrophyta(0.5899),c:Diatomea(0.5217),o:Bacillariophytina(0.2150),f:Bacillariophyceae(0.1131),g:Nitzschia(0.0357)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,
11,"d:Eukaryota(0.5829),p:Ochrophyta(0.1058),c:Diatomea(0.0559),o:Bacillariophytina(0.0100),f:Bacillariophyceae(0.0033),g:Frustulia(0.0013)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Frustulia,
12,"d:Eukaryota(0.8090),p:Annelida(0.1725),c:Polychaeta(0.0948),o:Terebellida(0.0167),f:Unknown_Family_1003328(0.0067),g:Unknown_Genus_1001209(0.0017)",Eukaryota,Annelida,Polychaeta,Terebellida,Unknown_Family_1003328,Unknown_Genus_1001209,
13,"d:Eukaryota(0.6281),p:Ochrophyta(0.1192),c:Diatomea(0.0637),o:Coscinodiscophytina(0.0123),f:Fragilariales(0.0044),g:Licmophora(0.0014)",Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Licmophora,
14,"d:Eukaryota(1.0000),p:Florideophycidae(0.9943),c:Corallinophycidae(0.9989),o:Unknown_Order_1003045(0.9975),f:Unknown_Family_1003046(0.9941),g:Marginisporum(0.2265)",Eukaryota,Florideophycidae,Corallinophycidae,Unknown_Order_1003045,Unknown_Family_1003046,Marginisporum,
15,"d:Eukaryota(1.0000),p:Unknown_Phylum_1002968(0.2546),c:Chlorophyceae(0.1472),o:Unknown_Order_1002976(0.0424),f:Unknown_Family_1002977(0.0209),g:Unknown_Genus_1001093(0.0062)",Eukaryota,Unknown_Phylum_1002968,Chlorophyceae,Unknown_Order_1002976,Unknown_Family_1002977,Unknown_Genus_1001093,
16,"d:Eukaryota(1.0000),p:Arthropoda(0.2717),c:Arachnida(0.1635),o:Araneae(0.0597),f:Unknown_Family_1003336(0.0302),g:Unknown_Genus_1001216(0.0091)",Eukaryota,Arthropoda,Arachnida,Araneae,Unknown_Family_1003336,Unknown_Genus_1001216,
17,"d:Eukaryota(1.0000),p:Florideophycidae(0.7879),c:Rhodymeniophycidae(0.3594),o:Unknown_Order_1003051(0.2668),f:Unknown_Family_1003052(0.1410),g:Betaphycus(0.0239)",Eukaryota,Florideophycidae,Rhodymeniophycidae,Unknown_Order_1003051,Unknown_Family_1003052,Betaphycus,
18,"d:Eukaryota(1.0000),p:Unknown_Phylum_1002968(0.5650),c:Ulvophyceae(0.3594),o:Unknown_Order_1003017(0.2668),f:Unknown_Family_1003018(0.1410),g:Unknown_Genus_1001105(0.0466)",Eukaryota,Unknown_Phylum_1002968,Ulvophyceae,Unknown_Order_1003017,Unknown_Family_1003018,Unknown_Genus_1001105,
19,"d:Eukaryota(1.0000),p:Florideophycidae(0.3915),c:Rhodymeniophycidae(0.1798),o:Unknown_Order_1003051(0.0769),f:Unknown_Family_1003052(0.0394),g:Unknown_Genus_1001112(0.0032)",Eukaryota,Florideophycidae,Rhodymeniophycidae,Unknown_Order_1003051,Unknown_Family_1003052,Unknown_Genus_1001112,
20,"d:Eukaryota(0.7411),p:Ochrophyta(0.1858),c:Diatomea(0.1026),o:Bacillariophytina(0.0145),f:Bacillariophyceae(0.0056),g:Nitzschia(0.0015)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,
21,"d:Eukaryota(0.8090),p:Annelida(0.1725),c:Polychaeta(0.0948),o:Terebellida(0.0167),f:Unknown_Family_1003328(0.0067),g:Unknown_Genus_1001209(0.0017)",Eukaryota,Annelida,Polychaeta,Terebellida,Unknown_Family_1003328,Unknown_Genus_1001209,
22,"d:Eukaryota(1.0000),p:Ochrophyta(0.5113),c:Diatomea(0.3757),o:Coscinodiscophytina(0.1287),f:Fragilariales(0.0670),g:Licmophora(0.0210)",Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Licmophora,
23,"d:Eukaryota(0.3794),p:Platyhelminthes(0.0392),c:Rhabditophora(0.0171),o:Rhabdocoela(0.0056),f:Unknown_Family_1003592(0.0010),g:Unknown_Genus_1001513(0.0010)",Eukaryota,Platyhelminthes,Rhabditophora,Rhabdocoela,Unknown_Family_1003592,Unknown_Genus_1001513,
24,"d:Eukaryota(0.7185),p:Ochrophyta(0.1592),c:Diatomea(0.0793),o:Coscinodiscophytina(0.0145),f:Fragilariales(0.0056),g:Licmophora(0.0015)",Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Licmophora,
25,"d:Eukaryota(1.0000),p:Unknown_Phylum_1002968(0.2888),c:Trebouxiophyceae(0.1472),o:Trebouxiales(0.0252),f:Unknown_Family_1003016(0.0117),g:Trebouxia(0.0032)",Eukaryota,Unknown_Phylum_1002968,Trebouxiophyceae,Trebouxiales,Unknown_Family_1003016,Trebouxia,
26,"d:Eukaryota(1.0000),p:Unknown_Phylum_1002968(0.2546),c:Chlorophyceae(0.1472),o:Chlamydomonadales(0.0424),f:Unknown_Family_1002980(0.0209),g:Chlamydomonas(0.0062)",Eukaryota,Unknown_Phylum_1002968,Chlorophyceae,Chlamydomonadales,Unknown_Family_1002980,Chlamydomonas,
27,"d:Eukaryota(0.8542),p:Arthropoda(0.1858),c:Arachnida(0.1026),o:Araneae(0.0178),f:Unknown_Family_1003336(0.0073),g:Unknown_Genus_1001216(0.0017)",Eukaryota,Arthropoda,Arachnida,Araneae,Unknown_Family_1003336,Unknown_Genus_1001216,
28,"d:Eukaryota(1.0000),p:Unknown_Phylum_1002968(0.7719),c:Trebouxiophyceae(0.4036),o:Chlorellales(0.2912),f:Unknown_Family_1003011(0.1599),g:Nannochloris(0.0547)",Eukaryota,Unknown_Phylum_1002968,Trebouxiophyceae,Chlorellales,Unknown_Family_1003011,Nannochloris,
29,"d:Eukaryota(0.9220),p:Arthropoda(0.2125),c:Arachnida(0.1181),o:Araneae(0.0189),f:Unknown_Family_1003336(0.0078),g:Unknown_Genus_1001216(0.0018)",Eukaryota,Arthropoda,Arachnida,Araneae,Unknown_Family_1003336,Unknown_Genus_1001216,
30,"d:Eukaryota(0.7638),p:Ochrophyta(0.1725),c:Diatomea(0.0948),o:Coscinodiscophytina(0.0145),f:Fragilariales(0.0056),g:Licmophora(0.0015)",Eukaryota,Ochrophyta,Diatomea,Coscinodiscophytina,Fragilariales,Licmophora,
31,"d:Eukaryota(1.0000),p:Priapulida(0.2546),c:Unknown_Class_1003676(0.1472),o:Unknown_Order_1003677(0.0424),f:Tubiluchidae(0.0209),g:Unknown_Genus_1001545(0.0062)",Eukaryota,Priapulida,Unknown_Class_1003676,Unknown_Order_1003677,Tubiluchidae,Unknown_Genus_1001545,
32,"d:Eukaryota(1.0000),p:Unknown_Phylum_1003810(0.5646),c:Unknown_Class_1003811(0.4661),o:Unknown_Order_1003812(0.3108),f:Unknown_Family_1003813(0.2691),g:Unknown_Genus_1001715(0.2265)",Eukaryota,Unknown_Phylum_1003810,Unknown_Class_1003811,Unknown_Order_1003812,Unknown_Family_1003813,Unknown_Genus_1001715,
33,"d:Eukaryota(1.0000),p:Ochrophyta(0.7254),c:Diatomea(0.7732),o:Bacillariophytina(0.3371),f:Mediophyceae(0.2124),g:Chaetoceros(0.1114)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Mediophyceae,Chaetoceros,
34,"d:Eukaryota(0.8090),p:Priapulida(0.1858),c:Unknown_Class_1003676(0.1026),o:Unknown_Order_1003677(0.0178),f:Tubiluchidae(0.0073),g:Unknown_Genus_1001545(0.0017)",Eukaryota,Priapulida,Unknown_Class_1003676,Unknown_Order_1003677,Tubiluchidae,Unknown_Genus_1001545,
35,"d:Eukaryota(1.0000),p:Dinoflagellata(0.6658),c:Dinophyceae(0.6858),o:Gymnodiniphycidae(0.6617),f:Suessiaceae(0.7373),g:Pelagodinium(0.1114)",Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Suessiaceae,Pelagodinium,
36,"d:Eukaryota(1.0000),p:Dinoflagellata(0.5648),c:Dinophyceae(0.4105),o:Gymnodiniphycidae(0.3371),f:Kareniaceae(0.2278),g:Karlodinium(0.1403)",Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Kareniaceae,Karlodinium,
37,"d:Eukaryota(0.7864),p:Annelida(0.1725),c:Polychaeta(0.0948),o:Terebellida(0.0167),f:Unknown_Family_1003328(0.0067),g:Unknown_Genus_1001209(0.0017)",Eukaryota,Annelida,Polychaeta,Terebellida,Unknown_Family_1003328,Unknown_Genus_1001209,
38,"d:Eukaryota(1.0000),p:Dinoflagellata(0.2717),c:Dinophyceae(0.1635),o:Gymnodiniphycidae(0.0597),f:Gymnodinium_clade(0.0302),g:Gymnodinium(0.0091)",Eukaryota,Dinoflagellata,Dinophyceae,Gymnodiniphycidae,Gymnodinium_clade,Gymnodinium,
39,"d:Eukaryota(1.0000),p:Annelida(0.3060),c:Polychaeta(0.1961),o:Phyllodocida(0.0597),f:Unknown_Family_1003320(0.0302),g:Unknown_Genus_1001197(0.0091)",Eukaryota,Annelida,Polychaeta,Phyllodocida,Unknown_Family_1003320,Unknown_Genus_1001197,
40,"d:Eukaryota(0.8542),p:Arthropoda(0.2125),c:Chilopoda(0.1026),o:Unknown_Order_1003440(0.0178),f:Unknown_Family_1003441(0.0073),g:Unknown_Genus_1001307(0.0017)",Eukaryota,Arthropoda,Chilopoda,Unknown_Order_1003440,Unknown_Family_1003441,Unknown_Genus_1001307,
41,"d:Eukaryota(1.0000),p:Ochrophyta(0.6278),c:Diatomea(0.5773),o:Bacillariophytina(0.2150),f:Bacillariophyceae(0.1131),g:Nitzschia(0.0357)",Eukaryota,Ochrophyta,Diatomea,Bacillariophytina,Bacillariophyceae,Nitzschia,
